instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weather_group,weekday_name,month_name,date_hour,year,temp_c,feels_like_c,humidity_pct,windspeed_kph,casual_share,is_weekend,is_rush_hour,is_commute_window,day_type,hour_band,temp_band,weather_severity,feels_temp_gap,hour_sin,hour_cos,month_sin,month_cos
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 00:00:00,2011,9.84,14.395,81.0,0.0,0.1875,1,0,0,Weekend / holiday,Overnight,Cold (<10C),1,0.0479,0.0,1.0,0.0,1.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 01:00:00,2011,9.02,13.635,80.0,0.0,0.2,1,0,0,Weekend / holiday,Overnight,Cold (<10C),1,0.0527,0.25881904510252074,0.9659258262890683,0.0,1.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 02:00:00,2011,9.02,13.635,80.0,0.0,0.15625,1,0,0,Weekend / holiday,Overnight,Cold (<10C),1,0.0527,0.49999999999999994,0.8660254037844387,0.0,1.0
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 03:00:00,2011,9.84,14.395,75.0,0.0,0.23076923076923078,1,0,0,Weekend / holiday,Overnight,Cold (<10C),1,0.0479,0.7071067811865476,0.7071067811865476,0.0,1.0
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 04:00:00,2011,9.84,14.395,75.0,0.0,0.0,1,0,0,Weekend / holiday,Overnight,Cold (<10C),1,0.0479,0.8660254037844386,0.5000000000000001,0.0,1.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 05:00:00,2011,9.84,12.879999999999999,75.0,6.0032,0.0,1,0,0,Weekend / holiday,Overnight,Cold (<10C),2,0.017600000000000005,0.9659258262890683,0.25881904510252074,0.0,1.0
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 06:00:00,2011,9.02,13.635,80.0,0.0,1.0,1,0,1,Weekend / holiday,Morning commute,Cold (<10C),1,0.0527,1.0,6.123233995736766e-17,0.0,1.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 07:00:00,2011,8.200000000000001,12.879999999999999,86.0,0.0,0.3333333333333333,1,1,1,Weekend / holiday,Morning commute,Cold (<10C),1,0.057599999999999985,0.9659258262890683,-0.25881904510252063,0.0,1.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 08:00:00,2011,9.84,14.395,75.0,0.0,0.125,1,1,1,Weekend / holiday,Morning commute,Cold (<10C),1,0.0479,0.8660254037844387,-0.4999999999999998,0.0,1.0
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 09:00:00,2011,13.120000000000001,17.424999999999997,76.0,0.0,0.5714285714285714,1,1,1,Weekend / holiday,Morning commute,Mild (10-20C),1,0.02849999999999997,0.7071067811865476,-0.7071067811865475,0.0,1.0
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 10:00:00,2011,15.58,19.695,76.0,16.997899999999998,0.3333333333333333,1,0,0,Weekend / holiday,Midday,Mild (10-20C),1,0.013899999999999968,0.49999999999999994,-0.8660254037844387,0.0,1.0
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 11:00:00,2011,14.76,16.665,81.0,19.0012,0.4642857142857143,1,0,0,Weekend / holiday,Midday,Mild (10-20C),1,-0.0267,0.258819045102521,-0.9659258262890682,0.0,1.0
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Winter,Clear / Few clouds,Clear,Saturday,Jan,2011-01-01 12:00:00,2011,17.22,21.21,77.0,19.0012,0.34523809523809523,1,0,0,Weekend / holiday,Midday,Mild (10-20C),1,0.004200000000000037,1.2246467991473532e-16,-1.0,0.0,1.0
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 13:00:00,2011,18.86,22.725,72.0,19.999499999999998,0.5,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.005500000000000005,-0.2588190451025208,-0.9659258262890683,0.0,1.0
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 14:00:00,2011,18.86,22.725,72.0,19.0012,0.330188679245283,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.005500000000000005,-0.4999999999999997,-0.8660254037844388,0.0,1.0
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 15:00:00,2011,18.04,21.97,77.0,19.999499999999998,0.36363636363636365,1,0,0,Weekend / holiday,Midday,Mild (10-20C),2,-0.0005999999999999894,-0.7071067811865471,-0.7071067811865479,0.0,1.0
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 16:00:00,2011,17.22,21.21,82.0,19.999499999999998,0.44086021505376344,1,1,1,Weekend / holiday,Evening commute,Mild (10-20C),2,0.004200000000000037,-0.8660254037844385,-0.5000000000000004,0.0,1.0
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 17:00:00,2011,18.04,21.97,82.0,19.0012,0.22388059701492538,1,1,1,Weekend / holiday,Evening commute,Mild (10-20C),2,-0.0005999999999999894,-0.9659258262890683,-0.25881904510252063,0.0,1.0
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Winter,Light rain or snow,Precipitation,Saturday,Jan,2011-01-01 18:00:00,2011,17.22,21.21,88.0,16.997899999999998,0.2571428571428571,1,1,1,Weekend / holiday,Evening commute,Mild (10-20C),3,0.004200000000000037,-1.0,-1.8369701987210297e-16,0.0,1.0
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Winter,Light rain or snow,Precipitation,Saturday,Jan,2011-01-01 19:00:00,2011,17.22,21.21,88.0,16.997899999999998,0.16216216216216217,1,0,1,Weekend / holiday,Evening commute,Mild (10-20C),3,0.004200000000000037,-0.9659258262890684,0.2588190451025203,0.0,1.0
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 20:00:00,2011,16.400000000000002,20.455000000000002,87.0,16.997899999999998,0.3055555555555556,1,0,0,Weekend / holiday,Late evening,Mild (10-20C),2,0.009099999999999997,-0.8660254037844386,0.5000000000000001,0.0,1.0
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 21:00:00,2011,16.400000000000002,20.455000000000002,87.0,12.998000000000001,0.08823529411764706,1,0,0,Weekend / holiday,Late evening,Mild (10-20C),2,0.009099999999999997,-0.7071067811865477,0.7071067811865474,0.0,1.0
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 22:00:00,2011,16.400000000000002,20.455000000000002,94.0,15.001299999999999,0.39285714285714285,1,0,0,Weekend / holiday,Late evening,Mild (10-20C),2,0.009099999999999997,-0.5000000000000004,0.8660254037844384,0.0,1.0
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Winter,Mist / Cloudy,Cloudy / mist,Saturday,Jan,2011-01-01 23:00:00,2011,18.86,22.725,88.0,19.999499999999998,0.38461538461538464,1,0,0,Weekend / holiday,Late evening,Mild (10-20C),2,-0.005500000000000005,-0.25881904510252157,0.9659258262890681,0.0,1.0
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 00:00:00,2011,18.86,22.725,88.0,19.999499999999998,0.23529411764705882,1,0,0,Weekend / holiday,Overnight,Mild (10-20C),2,-0.005500000000000005,0.0,1.0,0.0,1.0
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 01:00:00,2011,18.04,21.97,94.0,16.997899999999998,0.058823529411764705,1,0,0,Weekend / holiday,Overnight,Mild (10-20C),2,-0.0005999999999999894,0.25881904510252074,0.9659258262890683,0.0,1.0
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 02:00:00,2011,17.22,21.21,100.0,19.0012,0.1111111111111111,1,0,0,Weekend / holiday,Overnight,Mild (10-20C),2,0.004200000000000037,0.49999999999999994,0.8660254037844387,0.0,1.0
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 03:00:00,2011,18.86,22.725,94.0,12.998000000000001,0.3333333333333333,1,0,0,Weekend / holiday,Overnight,Mild (10-20C),2,-0.005500000000000005,0.7071067811865476,0.7071067811865476,0.0,1.0
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Winter,Mist / Cloudy,Cloudy / mist,Sunday,Jan,2011-01-02 04:00:00,2011,18.86,22.725,94.0,12.998000000000001,0.6666666666666666,1,0,0,Weekend / holiday,Overnight,Mild (10-20C),2,-0.005500000000000005,0.8660254037844386,0.5000000000000001,0.0,1.0
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Winter,Light rain or snow,Precipitation,Sunday,Jan,2011-01-02 06:00:00,2011,17.22,21.21,77.0,19.999499999999998,0.0,1,0,1,Weekend / holiday,Morning commute,Mild (10-20C),3,0.004200000000000037,1.0,6.123233995736766e-17,0.0,1.0
