feature,coefficient,abs_coefficient
num__is_rush_hour,46.899265200964464,46.899265200964464
num__yr,45.910606962566504,45.910606962566504
num__hour_sin,-45.355753565832686,45.355753565832686
cat__hour_band_Midday,43.23214001263289,43.23214001263289
cat__hour_band_Overnight,-40.21391125523796,40.21391125523796
num__is_commute_window,26.39290760243376,26.39290760243376
cat__season_label_Winter,-22.48594411087174,22.48594411087174
cat__temp_band_Mild (10-20C),-19.60679014125731,19.60679014125731
num__weathersit,-19.13565467440537,19.13565467440537
cat__season_label_Fall,16.920474168610458,16.920474168610458
num__atemp,16.490698743077946,16.490698743077946
cat__season_label_Spring,15.868132402822441,15.868132402822441
cat__hour_band_Late evening,-15.476832976676949,15.476832976676949
num__hour_cos,-15.146936412612956,15.146936412612956
num__temp,14.413627415000418,14.413627415000418
cat__temp_band_Hot (30C+),14.162327068166537,14.162327068166537
num__hum,-12.82314767926626,12.82314767926626
num__mnth,12.424503409089954,12.424503409089954
cat__hour_band_Evening commute,10.78991811875947,10.78991811875947
cat__season_label_Summer,-10.302662473734294,10.302662473734294
cat__weather_label_Heavy rain or snow,-10.2099536174559,10.2099536174559
cat__weather_label_Mist / Cloudy,9.159737126494589,9.159737126494589
cat__weather_group_Cloudy / mist,9.159737126408439,9.159737126408439
num__hr,8.189558354160912,8.189558354160912
cat__temp_band_Warm (20-30C),6.510484332826694,6.510484332826694
cat__weather_group_Precipitation,-5.595369718090763,5.595369718090763
cat__weather_label_Light rain or snow,4.614583908337743,4.614583908337743
num__weekday,3.932542163388093,3.932542163388093
num__month_cos,-3.9002564203726258,3.9002564203726258
cat__weather_label_Clear / Few clouds,-3.564367424037416,3.564367424037416
cat__weather_group_Clear,-3.564367424021575,3.564367424021575
num__weather_severity,-3.1781591842068657,3.1781591842068657
num__holiday,-2.950851977897577,2.950851977897577
num__windspeed,-2.583215854524118,2.583215854524118
cat__hour_band_Morning commute,1.6686861393497745,1.6686861393497745
num__feels_temp_gap,1.6282916215447525,1.6282916215447525
num__month_sin,-1.5325989960569208,1.5325989960569208
cat__weekday_name_Monday,-1.3607623379708838,1.3607623379708838
cat__weekday_name_Friday,1.1190438218415064,1.1190438218415064
cat__temp_band_Cold (<10C),-1.0660212724410412,1.0660212724410412
num__workingday,0.9730446465370455,0.9730446465370455
cat__weekday_name_Saturday,0.5293479400800014,0.5293479400800014
cat__weekday_name_Sunday,-0.5063862082702816,0.5063862082702816
cat__day_type_Weekend / holiday,-0.45208468311178923,0.45208468311178923
cat__day_type_Working day,0.45208468310313676,0.45208468310313676
cat__weekday_name_Tuesday,0.17416923042732504,0.17416923042732504
num__is_weekend,0.05067531307766946,0.05067531307766946
cat__weekday_name_Wednesday,0.04957105024590574,0.04957105024590574
cat__weekday_name_Thursday,-0.0049834938331708165,0.0049834938331708165
